program_id,program_name,acronym,duration_months,ects,consortium,website,field,degree_requirement,accepted_fields,cgpa_gpa,english_requirement,english_exemptions,work_experience,application_deadline,selection_process,scholarship,requirement_text_raw
1,"Erasmus Mundus Joint Master in Artificial Intelligence","EMAI",24,120,"Pompeu Fabra (Barcelona), Sapienza University (Rome), Radboud University (Nijmegen), University of Ljubljana (Slovenia)","https://www.upf.edu/web/emai/access-admission","AI & Machine Learning","Bachelor's or Master's degree from EHEA or equivalent","Computer Science, Engineering, Applied Mathematics, Physics, Computer Engineering, Electrical Engineering, Telecommunications","NOT explicitly stated - academic excellence required","TOEFL iBT ≥ 90 (subscores ≥ 22) OR IELTS Academic ≥ 6.5 (all subscores ≥ 6.5) OR Cambridge C1 Advanced ≥ 176 or C2 Proficiency ≥ 180","Yes - if degree from: Australia, Canada, New Zealand, UK, USA, or EMAI Consortium countries","NOT required but valued in evaluation","20 December 2025 (EMS round)","Multi-stage: Pre-screening → Pre-selection → Ranking → Interview (30-40 min) → Final selection","15 EMS covering tuition + €1,400/month (24 months) + travel. Also 15 tuition fee-waivers available","Official university bachelor's or master's degree from the European Higher Education Area (EHEA) or equivalent foreign degree allowing access to a postgraduate degree. English certificate of language proficiency required (TOEFL iBT minimum 90, subscores ≥ 22), IELTS Academic (overall and all subscores ≥ 6.5), or Cambridge (C1 Advanced ≥ 176 or C2 Proficiency ≥ 180)."
2,"European Master in Linguistic Data Science","EMLDS",24,120,"NOVA University Lisbon (Portugal), Università Cattolica del Sacro Cuore (Italy), University of Galway (Ireland), Universidad de Zaragoza (Spain)","https://emlds.fcsh.unl.pt/","Linguistic Data Science","Bachelor's degree (at least 180 ECTS) from recognized higher education institution","Relevant fields (linguistics, computer science, or related)","NOT explicitly stated - academic merit evaluated (40% weight)","CEFR B2.2 or higher (standardized tests required unless exempt)","Yes - native English speakers or degree taught exclusively in English","Relevant professional experience valued (part of 40% academic merit score)","January 30, 2026","Eligibility check → Ranking (Academic merit 40%, Motivation letter 35%, Recommendations 25%) → Possible interview","15 EMJM scholarships out of 25 vacancies (covers tuition, travel, living allowance)","Applicants must have completed a bachelor's degree corresponding to at least 180 ECTS. CEFRL B2.2 English or higher required. Evaluated on Academic merit/professional experience (40%), Motivation letter (35%), Letters of Recommendation (25%)"
3,"Erasmus Mundus Joint Master in the Data Science of Human Multimodal Communication","MULTICOM",24,120,"University of Murcia (Spain), Lund University (Sweden), Friedrich-Alexander-Universität Erlangen-Nürnberg (Germany)","https://multicom-em.eu","Data Science & Multimodal Communication","Bachelor's (≥180 ECTS) or Master's (≥60 ECTS) from recognized university","Linguistics, philosophy of language, psycholinguistics, cognitive science (language-related), communication studies, etc. (≥30 ECTS equivalent)","NOT explicitly stated - academic/professional excellence evaluated","TOEFL iBT ≥105 OR IELTS ≥7.5 OR Cambridge CAE/BEC Higher OR equivalent (C1 speaking/writing, C2 comprehension)","Yes - degree taught in English from English-speaking country OR 5+ years professional experience in English environment","NOT required but valued (e.g., ≥3 years in language/multimodal communication)","Opens before end of 2025 (first edition starts Sept 2026)","Merit-based ranking on leadership/motivation, language/thought background, academic excellence, quantitative background, international experience","Full Erasmus Mundus fellowships (tuition waiver + stipend covering all expenses)","Bachelor's (≥180 ECTS) or Master's (≥60 ECTS). At least 30 ECTS in linguistic communication. Evidence of quantitative training (introductory statistics ≥5 ECTS). English: TOEFL 105 iBT or IELTS 7.5"
4,"Master's Programme in Cybersecurity and Assurance","CYBERSURE",24,120,"NTNU (Norway), Aalto University (Finland), DTU (Denmark), University of Tartu (Estonia), KTH (Sweden), EURECOM (France), TU Graz (Austria)","https://cybersure-master.eu","Cybersecurity & Network Security","Bachelor's degree in mathematics, computer science/informatics, computer engineering, IT, information systems or closely related field","Mathematics, CS, informatics, computer engineering, IT, information systems","NOT explicitly stated","English proficiency required (specific tests not detailed)","NOT explicitly stated","NOT required","Applications open November 15, 2025","Evaluation based on bachelor's degree and coursework in required areas; 25 places available","Erasmus Mundus scholarships available","Bachelor's degree in mathematics, computer science/informatics, computer engineering, IT, or information systems. Strong candidates from other fields considered if sufficient coursework. Final-year students may apply."
5,"Erasmus Mundus Joint Master Degree Programme in Engineering of Data-intensive Intelligent Software Systems","EDISS",24,120,"Åbo Akademi University (Finland), plus three other partners for second-year specializations","https://www.master-ediss.eu","Data Science & Software Engineering","Bachelor's or equivalent (at least 180 ECTS) from accredited university","Computer science, software engineering, or equivalent","NOT explicitly stated","TOEFL iBT ≥93 OR IELTS Academic ≥6.5 (no subscore <6)","NOT explicitly stated","NOT required but relevant experiences valued with certificates","Opens November 2025 (Intake 6 for 2026-2028)","Online application with degree, transcripts, English proof, motivation, recommendations; committee decides second-year mobility","Erasmus Mundus scholarships (€1400/month + tuition waiver + insurance for 24 months); EDISS scholarships (€300-700/month + waiver) if EMJM not available","Bachelor's or equivalent (≥180 ECTS) from accredited university in computer science or software engineering. TOEFL iBT minimum 93 or IELTS Academic minimum 6.5 with no individual score under 6."
6,"Erasmus Mundus Joint Master's Degree in Data Engineering and Artificial Intelligence","DEAI",24,120,"ULB (Belgium, lead), plus partners","https://deai.ulb.be","Data Engineering & Artificial Intelligence","Bachelor's degree (180 ECTS equivalent), preferably in computer science, mathematics, or related; final-year students may apply","Computer science, mathematics, or closely related disciplines","NOT explicitly stated","NOT detailed yet (standard EMJMD tests like TOEFL/IELTS expected)","NOT stated","NOT required","Opens October 2025 for 2026-2028 intake","Standard EMJMD process (application via upcoming portal; details on new website)","Full Erasmus Mundus funding available","Bachelor's degree equivalent to 180 ECTS, preferably in computer science, mathematics, or closely related discipline. Applications for 2026-2028 intake open in October."
7,"European Master in Earthen Architecture and Construction","TERRA",24,120,"Multiple European universities focused on sustainable architecture","https://msc-terra.org","Sustainable Architecture & Construction","Bachelor's degree in architecture, civil engineering, or related","Architecture, civil engineering, construction, heritage conservation","NOT explicitly stated","Standard EMJMD English proficiency (TOEFL/IELTS expected)","Likely for English-medium degrees","NOT required but relevant experience valued","Opens for 2026/2027 academic year (typical Oct-Jan)","Standard EMJMD merit-based evaluation","Funded Erasmus Mundus Joint Master scholarships available","Erasmus Mundus Joint Master providing advanced training in sustainable earthen building. 2026/2027 academic year."
8,"Erasmus Mundus Joint Master Degree in Nuclear Physics","NucPhys",24,120,"6 partner universities in Spain, France, Italy (e.g., University of Catania); ~30 associated partners worldwide including CERN","https://www.emm-nucphys.eu","Nuclear Physics","Bachelor's degree in Physics or related","Physics, Nuclear Physics, or equivalent","NOT explicitly stated - top-ranked students targeted","Standard EMJMD proficiency (TOEFL/IELTS/Cambridge expected)","Likely for English-medium degrees","NOT required","January 20, 2026","Complete applications evaluated; merit-based for joint degree","Erasmus Mundus scholarships available for 2026-2028 edition","2-year Joint European Master Degree programme in Nuclear Physics (120 ECTS). Partnership of 6 universities in Spain, France and Italy, ~30 associated partners worldwide including CERN."
9,"European Master in Biological and Chemical Engineering for a Sustainable Bioeconomy","BIOCEB",24,120,"AgroParisTech (France, coordinator), URCA (France), ULiège (Belgium), Aalto University (Finland), TalTech (Estonia)","https://www.bioceb.eu","Bioeconomy & Bioprocesses","BSc or equivalent (≥180 ECTS) in engineering/science with strong biology background","Biotechnology, biochemistry, microbiology, biophysics, bioprocess engineering, molecular biology","NOT explicitly stated","B2 advanced proficiency demonstrated","NOT explicitly stated","NOT required","Campaign open for 2026-2028 (closes typically Jan)","Evaluation of academic background, English proficiency, motivation; mobility across partners","Erasmus Mundus Joint Master scholarships (full funding: tuition, living, travel)","BSc degree or equivalent of at least 180 ECTS in engineering or science including strong background in biology discipline. Demonstrated English language proficiency - B2 advanced."
10,"Erasmus Mundus Joint Master in Theatre SPACEs","Theatre SPACEs",24,120,"Western Norway University of Applied Sciences (Norway, coordinator), University of Arts Târgu Mureș (Romania), Trinity College Dublin (Ireland), University of Hamburg (Germany), Academy of Performing Arts Prague (Czechia)","https://www.theatre-spaces.eu","Applied Theatre & Cultural Studies","Bachelor's degree in relevant field (e.g., theatre, education, social sciences)","Theatre/drama, education, performing arts, social work, cultural studies","NOT explicitly stated - academic merit evaluated","High professional level in English (B2/C1 proficiency expected)","Likely for native speakers or English-medium degrees","NOT required but practical experience in applied theatre valued","1 December 2025","Merit-based on academic background, motivation, relevant experience; participatory learning, field visits, artistic research","Erasmus Mundus Joint Master scholarships (full funding: tuition waiver, €1400/month stipend, travel)","First Erasmus Mundus Master focusing on social, community, and educational theatre. Deadline 1 December 2025. Three full partner universities in Norway, Romania and Ireland."
11,"Erasmus Mundus Joint Master TELME – Teaching, Learning, and Multilingual Education","TELME",24,120,"Université Rennes 2 (France), Åbo Akademi University (Finland), Adam Mickiewicz University (Poland), Universidad de Burgos (Spain), University of Limerick (Ireland)","https://telme.hypotheses.org","Language Teaching & Multilingual Education","Bachelor's degree (180 ECTS) with major in languages or related fields; final-year students conditionally accepted","Languages, linguistics, education, or equivalent","Overall average grade A-B (ECTS scale)","Proficient in at least 2 languages (e.g., English + French/German/Spanish at B2)","Waived if attested by graduated university","NOT required","January 20, 2026 (opens October 20, 2025)","Online application with transcripts, motivation letter, 2 recommendations, language certificates; early applications prioritized for scholarships","~30 EU scholarships covering tuition, travel, living costs (€1400/month typical)","Bachelor's degree (180 ECTS) with major in languages or related fields. Overall average grade A-B (ECTS scale). Proficient in 2+ languages: English B2/C1 + Spanish/French/German B2. Applications October 20-January 20, 2026."
12,"Joint Master's Degree in International Humanitarian Action","NOHA",24,120,"9 European universities + 11 global partners","https://www.nohanet.org","International Humanitarian Action","Bachelor's degree (180 ECTS equivalent) in relevant field","Social sciences, law, political science, international relations, or equivalent","NOT explicitly stated - academic excellence evaluated","TOEFL/IELTS or equivalent (B2/C1 level typical)","Yes, for degrees taught in English","NOT required but humanitarian field experience valued","Typically October-January (check site for 2026-2028 intake)","Merit-based evaluation through one of 9 entry universities; mobility across network; interviews possible","Erasmus Mundus scholarships available (tuition waiver + €1400/month + travel for top candidates)","Inter-university and multidisciplinary Joint Master's Degree in International Humanitarian Action. Network of 9 European and 11 global partner universities."
13,"Erasmus Mundus Joint Master in Large Scale Accelerators and Lasers","LASCALA",24,120,"Université Paris-Saclay (France, coordinator), University of Salamanca (Spain), Lund University (Sweden), Sapienza University of Rome (Italy)","https://www.master-lascala.eu","Accelerator Physics & Lasers","Bachelor's degree in physics, engineering, or related (transcripts since high school required)","Physics, nuclear physics, engineering physics","NOT explicitly stated (expected strong quantitative background)","Certificate of English level (B2/C1 proficiency)","NOT explicitly stated","NOT required","Scholarship: February 14, 2026; Self-financed: April 30, 2026","Online application with motivation letter, transcripts, CV, English certificate, references; evaluation for mobility across 4 universities","Erasmus Mundus scholarships (tuition waiver + stipend + travel); tuition €6,000/year","Candidates must submit motivation letter, transcripts from all years validated since high school diploma, Certificate of English level, CV. Scholarship deadline February 14, 2026. Self-financed deadline April 30, 2026."
14,"Erasmus Mundus Joint Master JANUS - Applied Defense and Security Networks","JANUS",24,120,"Université Jean Moulin Lyon 3 (France, coordinator), plus partner universities in Europe","https://master-janus-securitydefense.eu/janus/","Security Governance & Defense Policy","Bachelor's degree in relevant field","Law, political science, criminology, international relations","NOT explicitly stated","Sufficient English + French proficiency required","NOT stated","NOT required but valued for leadership training","Opens January 2026","Eligibility check + evaluation of academic background, language skills; specializations in high-intensity conflicts, terrorism/organized crime, cybersecurity","Erasmus Mundus Joint Master scholarships available","Must meet all eligibility criteria. Proof of sufficient level of English and French. Applications open January 2026. JANUS Master aims to train future leaders in public and private security."
15,"Erasmus Mundus Joint Master's Degree in Engineering for Environmental Sustainability and International Cooperation","EESIC",24,120,"Instituto Superior Técnico (Portugal, coordinator), Polytechnic University of Valencia (Spain), University of Trento (Italy), plus associated partners globally","Check tecnico.ulisboa.pt for official application portal","Environmental Engineering & Sustainability","First-cycle undergraduate degree (≥180 ECTS) in Civil/Environmental Engineering or closely related","Civil Engineering, Environmental Engineering, or equivalent scientific fields","NOT explicitly stated","English proficiency required","NOT stated","NOT required","Open for 2026/27 academic year (webinar Dec 18, 2025 for details)","Applications via partner portal; 70 scholarships funded; mobility: Semester 1 Lisbon, Semester 2 Valencia, Semester 3 Trento, Semester 4 associated partner","70 Erasmus Mundus scholarships available","First-cycle undergraduate degree in Civil and/or Environmental Engineering (≥180 ECTS). Student applications open for 2026/27 academic year. 70 scholarships will be funded."
16,"Erasmus Mundus Joint Master MITRA - Migrations Transnationales","MITRA",24,120,"Université de Lille (France, coordinator), ULB Brussels (Belgium), Universidad de Granada (Spain), Babeș-Bolyai University (Romania), plus partners like UCC (Ireland), UFRJ (Brazil), UCAD (Senegal), University of the Aegean (Greece)","https://www.master-mitra.eu","Migration Studies & Intercultural Mediation","Bachelor's degree (180 ECTS) in social sciences, law, languages, humanities","Social sciences, law, foreign languages, humanities (exceptions for experienced professionals)","NOT explicitly stated","B2 proficiency in English + French (CEFR); additional languages for some mobilities","Possible for relevant professional experience","NOT required but considered for non-traditional backgrounds","Check site for calls (typically two sessions annually)","Online dossier with transcripts, motivation, references; two tracks (Identités/Intégration French-dominant; Migration/Cultural Diversity English-dominant); mobilities S2-S4","Erasmus Mundus scholarships (full coverage); double/triple degrees awarded","Bachelor's degree (180 ECTS) in social sciences, law, foreign languages, and humanities. Exceptions for other disciplines with professional experience. MITRA taught in French and English, requiring B2 proficiency (CEFR)."
17,"Erasmus Mundus Joint Master in International Law of Security, Peace and Sustainable Development","ILSPSD",24,120,"Leuphana University of Lüneburg (Germany, coordinator from 2026), plus five other European partners and 30 associate partners worldwide","https://master-international-law-erasmusmundus.eu","International Law & Peace Studies","Bachelor's degree (law or related disciplines with sufficient law ECTS)","Law, European Studies, International Relations, War Studies, Political Science","NOT explicitly stated - academic excellence required","English proficiency (TOEFL/IELTS/Cambridge standard)","Likely for English-medium degrees","NOT required but international experience valued","Scholarship applications open until February 1, 2026","Online portal application with transcripts, motivation, references; mobility across 6 institutions; specializations in human rights, security, sustainability","Erasmus Mundus scholarships (tuition waiver + €1400/month + travel)","Graduates of law or other disciplines (e.g. European Studies, International Relations, War Studies, Political Science) with sufficient ECTS from law area. Scholarship applications for 2026 intake open until 1 February 2026."
18,"Erasmus Mundus Joint Master in Sustainable Catalysis","SuCat",24,120,"University of Poitiers (France, coordinator), University of Aveiro (Portugal), Universitat Rovira i Virgili (Spain)","https://www.master-sucat.eu","Sustainable Chemistry & Catalysis","Eurobachelor or equivalent (minimum 180 ECTS)","Chemistry or similar studies","NOT explicitly stated","Good knowledge of English (application in English)","NOT explicitly stated","NOT required","Check site for 2026-2028 intake (typically annual calls)","Online application in English with degree proof; selection by partners; mobility: Semester 1 Poitiers, then Aveiro/URV, thesis in specialization","Erasmus Mundus scholarships available (€4500-9000 tuition + stipend)","Eurobachelor degree (or equivalent) in Chemistry or similar studies with minimum 180 ECTS and good knowledge of English. All prospective students apply online using SuCat master website."
19,"Erasmus Mundus Joint Master in Renewable Energy in the Marine Environment","REM+",24,120,"University of the Basque Country (Spain), University College Cork (Ireland), Norwegian University of Science and Technology (Norway), Centrale Nantes (France)","https://www.master-remplus.eu","Renewable Marine Energy","Bachelor's degree (BSc or equivalent, ≥180 ECTS)","Naval/Maritime Engineering, Mechanical/Electrical Engineering, Physics, Applied Mathematics","NOT explicitly stated","IELTS/TOEFL required for non-native speakers","Native speakers or English-medium degrees","NOT required","Submission open for 2026 intake via https://application.master-remplus2.eu","Online application review; mobility across 4 countries; skills in hydrodynamics, wave modeling, marine energy systems","Erasmus Mundus scholarships (tuition €4,500-8,750/year covered + stipend)","University degree (Bachelor of Science or equivalent) in Naval Engineering, Mechanical Engineering, Electrical Engineering, Physics, Applied Mathematics. Non-native English speakers must prove sufficient fluency."
20,"Erasmus Mundus Joint Master in Bio and Pharmaceutical Materials Science","BIOPHAM",24,120,"University of Lille (France), University of Pisa (Italy), Polytechnic University of Catalunya (Spain), University of Silesia (Poland)","https://www.master-biopham.eu","Pharmaceutical Materials Science","Bachelor's degree (180 ECTS equivalent)","Physics, Materials Science, Chemistry, Nanoscience, Bioengineering","Minimum 18 ECTS in mathematics","IELTS ≥6.5 (no band <5.5) OR TOEFL iBT ≥90 OR Duolingo ≥100","Medium of Instruction certificate sometimes accepted","NOT required","February 1, 2026 (or May 9, 2026 per some sources)","Online application with transcripts, CV, motivation letter, 2 recommendations; mobility: Pisa (S1), Catalunya (S2), Lille/Silesia (S3), thesis (S4)","50 full Erasmus Mundus scholarships (€1400/month x24 + tuition waiver + travel/insurance) + 30 partial","Bachelor's degree (180 ECTS) in Physics, Materials Science, Chemistry, Nanoscience, or Bioengineering. Minimum 18 ECTS in physics and mathematics. English: IELTS 6.5 (no band below 5.5), TOEFL iBT 90."
21,"Erasmus Mundus Joint Master in Radiation and its Effects on MicroElectronics and Photonics Technologies","RADMEP+",24,120,"University of Jyväskylä (Finland, S1), KU Leuven (Belgium, S2), Université Jean Monnet (France, S3 Photonics), University of Montpellier (France, S3 Microelectronics), plus partners like Ghent University, VUB","https://master-radmep.org","Radiation Effects on Electronics & Photonics","Bachelor's degree in Physics, Photonics, Microelectronics, or related","Physics, Electrical Engineering, Materials Science, Nanoscience","NOT explicitly stated (strong quantitative background expected)","English proficiency (IELTS/TOEFL standard)","English-medium degrees","NOT required","Open (check site; typically Oct-Feb for EMJMD)","Online application; mobility S1 Jyväskylä → S2 Belgium → S3 France (Photonics/Microelectronics choice) → S4 thesis (industry/research)","Erasmus Mundus scholarships (tuition waiver + €1400/month + travel)","Bachelor's degree preferably in Physics, Photonics or MicroElectronics. 2-year (120 ECTS) programme on interactions between Radiation and MicroElectronics and Photonics in international environment."
22,"Erasmus Mundus Joint Master Degree MATHS-DISC","MATHS-DISC",24,120,"University of Verona (Italy), University of Wuppertal (Germany), ISKPI, ULIS, UGA (5 universities total with 8 specialization pathways)","https://mathsdisc.eu","Mathematical Modelling & Data Science","Bachelor's degree (≥180 ECTS) completed before July 31 (non-EU) or Sept 30 (EU)","Mathematics/Applied Mathematics, Physics, Engineering, Computer Science, Economics, Statistics","Calculus (18 ECTS), Linear Algebra (6 ECTS), Numerical Analysis (6 ECTS), Statistics (6 ECTS) + Programming (6 ECTS) + >75% GPA","TOEFL (CBT 220/ITP 550/IBT 80), IELTS ≥6.5, Cambridge B2 First ≥173/C1 Advanced ≥160, TOEIC 800","Yes - official confirmation if studies in English","NOT required","March 2, 2026 (opens December 15, 2025)","Online application with transcripts, CV (Europass), motivation letter, English proof; personalized paths (CICO, HPCQF, SML, FIN, MED etc.); mobility S1 any partner, S3-S4 specialization","EMJM scholarships, targeted region scholarships, consortium-funded","First university degree ≥180 ECTS in Mathematics/Applied Math or related. Basic knowledge: Calculus (18 ECTS), Linear Algebra (6), Numerical Analysis (6), Programming (6), Statistics (6). CGPA >75%. Fluent English. Deadline March 2, 2026."
23,"Erasmus Mundus Joint Master DIGICREA - Digital Creativity","DIGICREA",24,120,"Université Jean Monnet Saint-Étienne (France, coordinator), plus two other partners across three countries for mobility tracks","https://master-digicrea.univ-st-etienne.fr","Digital Creativity & Media","Bachelor's degree (≥180 ECTS); candidates with 150+ ECTS may apply with sworn statement","Any field (music, theater, art, languages, sciences, engineering, biotech, etc.)","NOT explicitly stated","Application in English (proficiency expected; tests likely required)","NOT explicitly stated","NOT required; professional portfolio required","February 16, 2026 (opens November 14, 2025)","eCandidat portal application with diploma/transcripts (certified English translation), CV (Europass), sworn statement (if needed), video presentation, professional portfolio, references; two tracks: Sound-Music or Image","Erasmus Mundus scholarships available","Bachelor's degree of at least 180 ECTS. Certified copy of original higher education diploma(s). Sworn statement for undergoing Bachelor Students certifying 180 ECTS will be obtained before September 1, 2026. All applications through eCandidat portal."
24,"Erasmus Mundus Joint Master MISEI - International Master in Inclusive Education Sciences","MISEI",24,120,"Université de Lorraine (Metz, France), University of Milan (Italy), University of Neuchâtel (Switzerland)","https://master-misei.com","Inclusive Education & Diversity","Bachelor's degree or equivalent","Education, social sciences, humanities (focus on inclusion/diversity)","NOT explicitly stated","Bilingual program (English + French proficiency required)","NOT explicitly stated","NOT required","Opens October 2025 (exact date TBD; apply by March 15 for scholarships)","Online application; top 20 get full scholarships, top 30 total admitted (10 self-funded); mobility across France/Italy/Switzerland","20 full EMJM scholarships (€1,400/month + tuition waiver) for top students","Erasmus Mundus Joint Master (EMJM) by 3 Universities: Metz (France), Milan (Italy), Neuchâtel (Switzerland). 4 Semesters, 120 ECTS. For top 30 students: 20 receive €1,400/month + tuition exemption."
25,"Erasmus Mundus Joint Master in Education, Migration, and Diversity","EDU_MIG",24,120,"University of Education Schwäbisch Gmünd (Germany), University of Gävle (Sweden), University of Calabria (Italy)","https://www.edumig.org","Education, Migration & Diversity","Bachelor's degree (3-4 years) or equivalent","Social sciences, history, cultural studies, educational sciences, applied linguistics, teacher education","Minimum C+ average or equivalent","Proficiency required (documents in English/French/German/Italian/Swedish)","NOT explicitly stated","Relevant employment/internship/voluntary work valued","Starts December 2025","Application with CV, motivation letter (max 2 pages), transcripts, references; mobility across Germany/Sweden/Italy","Erasmus Mundus scholarships available","Bachelor's degree (3-4 years) or equivalent in social sciences/education. Minimum C+ average. Multiple language proficiency. Joint degree from 3 universities."
26,"EuroPubHealth+ - European Public Health Master","EuroPubHealth+",24,120,"EHESP (France), University of Sheffield (UK), University of Granada (Spain), University College Dublin (Ireland), Maastricht University (Netherlands), University of Liège (Belgium), University of Bordeaux (France), Jagiellonian University (Poland)","https://www.europubhealth.org","Public Health","Bachelor's degree (3-4 years) in health sciences, social sciences, life sciences, or management","Medicine, pharmacy, nursing, biology, social sciences, economics, engineering","Good academic record required","IELTS/TOEFL (depending on pathway); some tracks require French/Spanish","English-medium degrees or native speakers","NOT required but relevant experience valued","January 2026 (opens October 8, 2025)","Online portal with CV, motivation letter, transcripts, references, language proof; Year 1 core modules (choose entry uni), Year 2 specialization + thesis/internship at different partner","Erasmus Mundus scholarships (tuition waiver + €1400/month + travel/insurance); fee waivers for self-funded","Bachelor's degree in health/life/social sciences. Applications via Europubhealth+ portal. Year 1: core public health foundations. Year 2: specialization at different university. Double Master's degrees awarded."
27,"Erasmus Mundus Joint Master in Quaternary and Prehistory","IMQP",24,120,"Università degli Studi di Ferrara (Italy, coordinator), Muséum National d'Histoire Naturelle (France), Universitat Rovira i Virgili (Spain), Instituto Politécnico de Tomar (Portugal)","https://sites.google.com/a/unife.it/quaternary-prehistory/","Prehistory & Paleoanthropology","Bachelor's degree in relevant field","Archaeology, anthropology, geology, biology, related sciences","NOT explicitly stated","English proficiency required for international program","NOT stated","NOT required","Check sites for current calls (typically annual)","Applications evaluated for interdisciplinary preparation in prehistoric research; mobility across 4 countries with focus on research methods","Erasmus Mundus scholarships available","International Master in Quaternary and Prehistory (IMQP) 2-year programme. Partnership of 4 HEIs: Ferrara (Italy), Muséum Paris (France), Rovira i Virgili (Spain), Tomar (Portugal)."
28,"Erasmus Mundus Joint Master in Environmental Contamination and Toxicology + ONE HEALTH","ECT+",24,120,"University of the Basque Country (UPV/EHU, Spain, coordinator), University of Bordeaux (France), Norwegian University of Science and Technology (NTNU, Norway), University of Porto (Portugal), University of Pau (France)","https://www.ectplus.eu","Environmental Toxicology & One Health","Bachelor's degree (≥180 ECTS) in relevant sciences","Chemistry, biology, environmental science, toxicology, engineering","Good academic record required","English proficiency (IELTS/TOEFL standard)","English-medium degrees","NOT required","Check site for 2026 intake (typically annual calls Oct-Feb)","Online application with transcripts, CV, motivation; mobility: S1 fundamentals (multiple entries), S2 advanced, S3 internships/conferences, S4 thesis","Erasmus Mundus scholarships available (tuition waiver + stipend + travel)","ECT+ ONE HEALTH programme on interactions between environmental pollutants and organisms. One Health approach integrating human, animal, ecosystem health. Semester 1: fundamentals. Semester 2: advanced. Semester 3: internships/conferences."
29,"Erasmus Mundus Joint Master ReSound - European Sound Masters","ReSound",24,120,"Institute of Art, Design and Technology (IADT, Ireland - S1), Universidade Lusófona (Portugal - S2), Lithuanian Academy of Music and Theatre (Lithuania - S3)","https://resound-ma.eu","Sound Design & Creative Industries","Bachelor's degree in relevant creative/technical field","Media, film, music, game design, sound engineering, related arts/sciences","NOT explicitly stated - portfolio-focused","English proficiency required (program in English)","English-medium degrees","NOT required; professional portfolio (10-15 min) mandatory","Check site (calls open annually)","Application with portfolio, CV; merit-based for scholarships; full mobility across Ireland/Portugal/Lithuania","Erasmus Mundus scholarships (€1400/month + no tuition + travel)","2-year Joint Masters in Sound by FilmEU alliance: IADT Dublin (S1), Lusófona Lisbon (S2), LMTA Vilnius (S3). Portfolio of 10-15 min best work required."
